Year,Countries,Cases,Deaths,Pop,PerMillion,PopPerHTh,CasesPerM,DeathsPerM,CasesPerTh,CFR (%),Death(CFR (%)),Serotypes,Temperature,Rainfall,PD
2000,Afghanistan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2001,Afghanistan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2002,Afghanistan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2003,Afghanistan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2004,Afghanistan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2005,Afghanistan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2006,Afghanistan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2007,Afghanistan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2008,Afghanistan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2009,Afghanistan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2010,Afghanistan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2011,Afghanistan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2012,Afghanistan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2013,Afghanistan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2014,Afghanistan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2015,Afghanistan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2016,Afghanistan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2017,Afghanistan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2018,Afghanistan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2019,Afghanistan,15,0,35700000,35.7,357,0.420168067,0,0.042016807,0,,,,,
2020,Afghanistan,300,0,35700000,35.7,357,8.403361345,0,0.840336134,0,,,,,
2021,Afghanistan,775,0,35700000,35.7,357,21.70868347,0,2.170868347,0,,"1,3",,,
2022,Afghanistan,1266,0,35700000,35.7,357,35.46218487,0,3.546218487,0,,"1,2,3,4",,,
2023,Afghanistan,1496,1,35700000,35.7,357,41.9047619,0.028011204,4.19047619,0.07,1 (0.07),"1,2,3,4",,,
2000,Bangladesh,5551,93,"106,315,000",106.315,"1,063",52.21276396,0.874758971,5.221276396,1.68,93 (1.68),,24.34303254,2104,
2001,Bangladesh,2430,44,"124,355,000",124.355,"1,244",19.54083069,0.353825741,1.954083069,1.81,44 (1.81),,28.76560798,1679,
2002,Bangladesh,6232,58,"124,355,000",124.355,"1,244",50.11459129,0.466406658,5.011459129,0.93,58 (0.93),,24.02183244,1795,
2003,Bangladesh,486,10,"124,355,000",124.355,"1,244",3.908166137,0.080414941,0.390816614,2.06,10 (2.06),,25.9875,1674.3,
2004,Bangladesh,3934,13,"124,355,000",124.355,"1,244",31.63523783,0.104539423,3.163523783,0.33,13 (0.33),,26.22083333,2343.4,
2005,Bangladesh,1048,4,"124,355,000",124.355,"1,244",8.427485827,0.032165976,0.842748583,0.38,4 (0.38),,26.6,2682.3,
2006,Bangladesh,2200,11,"124,355,000",124.355,"1,244",17.69128704,0.088456435,1.769128704,0.5,11 (0.5),,26.85416667,1968.8,
2007,Bangladesh,466,0,"124,355,000",124.355,"1,244",3.747336255,0,0.374733626,0,0 (0),,26.1625,3039.7,
2008,Bangladesh,1153,0,"124,355,000",124.355,"1,244",9.271842708,0,0.927184271,0,0 (0),,26.3875,2129.9,
2009,Bangladesh,474,0,"124,355,000",124.355,"1,244",3.811668208,0,0.381166821,0,0 (0),,27.06666667,1930.5,
2010,Bangladesh,409,0,"124,355,000",124.355,"1,244",3.288971091,0,0.328897109,0,0 (0),,27.11666667,1518.3,
2011,Bangladesh,1359,6,"144,043,697",144.043697,"1,440",9.434637046,0.041654027,0.943463705,0.44,6 (0.44),,26.25416667,1780.1,
2012,Bangladesh,671,1,"144,043,697",144.043697,"1,440",4.658308652,0.006942338,0.465830865,0.15,1 (0.15),,26.54166667,1325.2,
2013,Bangladesh,1749,2,"144,043,697",144.043697,"1,440",12.14214878,0.013884676,1.214214878,0.11,2 (0.11),"1,2",26.57083333,1592.5,
2014,Bangladesh,375,0,"144,043,697",144.043697,"1,440",2.603376668,0,0.260337667,0,0 (0),"1,2",26.6875,1393.6,
2015,Bangladesh,3162,6,"144,043,697",144.043697,"1,440",21.95167207,0.041654027,2.195167207,0.19,6 (0.19),"1,2",26.58333333,2162.1,
2016,Bangladesh,6060,14,"144,043,697",144.043697,"1,440",42.07056696,0.097192729,4.207056696,0.23,14 (0.23),"1,2",27.35416667,1360,
2017,Bangladesh,2769,8,"144,043,697",144.043697,"1,440",19.22333332,0.055538702,1.922333332,0.29,8 (0.29),"1,2",26.8875,2892.6,
2018,Bangladesh,10148,26,"144,043,697",144.043697,"1,440",70.45084382,0.180500782,7.045084382,0.26,26 (0.26),"1,2,3",26.675,1736.9,
2019,Bangladesh,101354,164,"144,043,697",144.043697,"1,440",703.6337036,1.138543396,70.36337036,0.16,164 (0.16),"1,2,3",26.90833333,1842.1,
2020,Bangladesh,1405,3,"144,043,697",144.043697,"1,440",9.753984584,0.020827013,0.975398458,0.21,3 (0.21),,26.8375,1917.5,
2021,Bangladesh,28429,105,"144,043,697",144.043697,"1,440",197.3637208,0.728945467,19.73637208,0.37,105 (0.37),,27.40416667,1870.4,
2022,Bangladesh,62382,281,"165,158,616",165.158616,"1,652",377.7096316,1.701394737,37.77096316,0.45,281 (0.45),"3,4",27.39166667,1301,
2023,Bangladesh,321179,1705,"165,158,616",165.158616,"1,652",1944.669965,10.32340935,194.4669965,0.53,1705 (0.53),"2,3,4",25.81583333,2547.91,
2000,Bhutan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2001,Bhutan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2002,Bhutan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2003,Bhutan,0,0,,0,,#DIV/0!,#DIV/0!,0,0,,,,,
2004,Bhutan,2579,0,"635,000",0.635,6.35,4061.417323,0,406.1417323,0,0,"1,2",,,
2005,Bhutan,19,0,"635,000",0.635,6.35,29.92125984,0,2.992125984,0,0,3,,,
2006,Bhutan,480,2,"635,000",0.635,6.35,755.9055118,3.149606299,75.59055118,0.42,2 (0),3,,,
2007,Bhutan,86,0,"635,000",0.635,6.35,135.4330709,0,13.54330709,0,0,,,,
2008,Bhutan,73,0,"635,000",0.635,6.35,114.9606299,0,11.49606299,0,0,,,,
2009,Bhutan,351,0,"635,000",0.635,6.35,552.7559055,0,55.27559055,0,0,,,,
2010,Bhutan,874,0,"635,000",0.635,6.35,1376.377953,0,137.6377953,0,0,,,,
2011,Bhutan,712,0,"635,000",0.635,6.35,1121.259843,0,112.1259843,0,0,,,,
2012,Bhutan,1101,0,"635,000",0.635,6.35,1733.858268,0,173.3858268,0,0,"1,2,3",,,
2013,Bhutan,111,0,"635,000",0.635,6.35,174.8031496,0,17.48031496,0,0,"1,2,3",,,
2014,Bhutan,0,0,"635,000",0.635,6.35,0,0,0,0,0,,,,
2015,Bhutan,0,0,"635,000",0.635,6.35,0,0,0,0,0,,,,
2016,Bhutan,550,0,"726,596",0.726596,7.26596,756.954346,0,75.6954346,0,0,"1,2",,,
2017,Bhutan,87,0,"727,145",0.727145,7.27145,119.6460128,0,11.96460128,0,0,"1,2",,,
2018,Bhutan,28,0,"734,374",0.734374,7.34374,38.12771149,0,3.812771149,0,0,"1,2",,,
2019,Bhutan,3309,6,"741,672",0.741672,7.41672,4461.540951,8.089829466,446.1540951,0.18,6 (0),"1,2,3",,,
2020,Bhutan,16,0,"748,931",0.748931,7.48931,21.36378385,0,2.136378385,0,0,,,,
2021,Bhutan,5,0,"756,129",0.756129,7.56129,6.612628268,0,0.661262827,0,0,,,,
